,id,agency,code_parts,composite_element,description,element_id,group_begin_end,group_req_designator,group_requirement_designator_id,hash_flag,maximum_length,minimum_length,position,release,repeat_factor,requirement_designator,rules,segment_id,sub_element_req_designator,tracking_flag,type,version
668882,668883,X,,False,DATE,0373,,,,,8,8,3,0,1,M,,BAA,M,,DT,006010
669371,669371,X,,False,TIME,0337,,,,,8,4,5,0,1,O,,BRA,O,,TM,006010
669441,669442,X,,False,TIME,0337,,,,,8,4,11,0,1,O,,CAL,O,,TM,006010
669577,669577,X,,False,DATE,0373,,,,,8,8,12,0,1,O,,CR6,O,,DT,006010
669711,669712,X,,False,DATE,0373,,,,,8,8,13,0,1,O,,CR6,O,,DT,006010
669917,669918,X,,False,DATE,0373,,,,,8,8,14,0,1,O,,CR6,O,,DT,006010
670600,670601,X,,False,EXPONENT,1018,R,M,C001,,15,1,15,0,0,M,,CSS,O,,R,006010
670945,670946,X,,False,EXPONENT,1018,R,C,C001,,15,1,14,0,0,C,,FAA,O,,R,006010
671150,671151,X,,False,MULTIPLIER,0649,R,C,C001,,10,1,15,0,0,C,,FAA,O,,R,006010
671833,671834,X,,False,TIME,0337,,,,,8,4,2,0,1,C,,G37,C,,TM,006010
671903,671904,X,,False,DATE,0373,,,,,8,8,10,0,1,O,,IS2,O,,DT,006010
672523,672524,X,,False,MULTIPLIER,0649,R,O,C001,,10,1,12,0,0,O,,JID,O,,R,006010
672801,672802,X,,False,EXPONENT,1018,R,O,C001,,15,1,14,0,0,O,,LTR,O,,R,006010
673284,673285,X,,False,MULTIPLIER,0649,R,O,C001,,10,1,15,0,0,O,,LTR,O,,R,006010
673351,673352,X,,False,EXPONENT,1018,R,C,C001,,15,1,4,0,0,C,,PAM,O,,R,006010
674329,674330,X,,False,MULTIPLIER,0649,R,C,C001,,10,1,5,0,0,C,,PAM,O,,R,006010
674464,674465,X,,False,MULTIPLIER,0649,R,C,C001,,10,1,71,0,0,C,,RCD,O,,R,006010
675089,675090,X,,False,MULTIPLIER,0649,R,C,C001,,10,1,18,0,0,C,,REC,O,,R,006010
675295,675296,X,,False,EXPONENT,1018,R,C,C001,,15,1,18,0,0,C,,UCS,O,,R,006010
675500,675501,X,,False,MULTIPLIER,0649,R,C,C001,,10,1,19,0,0,C,,UCS,O,,R,006010
675572,675573,X,,False,DATE,0373,,,,,8,8,5,0,1,O,,Y7,O,,DT,006010
